;代码	X	Y	名称	范围	数量	时间
lj1   19   21     半兽战士7     100      30      5
lj1   19   21     半兽人7     100      30      5
lj1   19   21     恶灵僵尸7     100      20      5
lj1   19   21     骷髅长枪兵7     100      10      5


lj2   19   21     半兽战士7     100      30      5
lj2   19   21     半兽人7     100      30      5
lj2   19   21     恶灵僵尸7     100      20      5
lj2   19   21     骷髅长枪兵7     100      10      5



lj3   19   21     半兽战士7     100      30      5
lj3   19   21     半兽人7     100      30      5
lj3   19   21     恶灵僵尸7     100      20      5
lj3   19   21     骷髅长枪兵7     100      10      5

lj4   19   21     半兽战士7     100      30      5
lj4   19   21     半兽人7     100      30      5
lj4   19   21     恶灵僵尸7     100      20      5
lj4   19   21     骷髅长枪兵7     100      10      5


lj5   19   21     半兽战士7     100      30      5
lj5   19   21     半兽人7     100      30      5
lj5   19   21     恶灵僵尸7     100      20      5
lj5   19   21     骷髅长枪兵7     100      10      5


lj6   19   21     半兽战士7     100      30      5
lj6   19   21     半兽人7     100      30      5
lj6   19   21     恶灵僵尸7     100      20      5
lj6   19   21     骷髅长枪兵7     100      10      5


lj7   19   21     半兽战士7     100      30      5
lj7   19   21     半兽人7     100      30      5
lj7   19   21     恶灵僵尸7     100      20      5
lj7   19   21     骷髅长枪兵7     100      10      5

lj8   19   21     半兽战士7     100      30      5
lj8   19   21     半兽人7     100      30      5
lj8   19   21     恶灵僵尸7     100      20      5
lj8   19   21     骷髅长枪兵7     100      10      5


lj9   19   21     半兽战士7     100      30      5
lj9   19   21     半兽人7     100      30      5
lj9   19   21     恶灵僵尸7     100      20      5
lj9   19   21     骷髅长枪兵7     100      10      5


lj10   19   21     半兽战士7     100      30      5
lj10   19   21     半兽人7     100      30      5
lj10   19   21     恶灵僵尸7     100      20      5
lj10   19   21     骷髅长枪兵7     100      10      5


lj1   19   21     半兽战士7     100      30      5
lj1   19   21     半兽人7     100      30      5
lj1   19   21     恶灵僵尸7     100      20      5
lj1   19   21     骷髅长枪兵7     100      10      5


lj2   19   21     半兽战士7     100      30      5
lj2   19   21     半兽人7     100      30      5
lj2   19   21     恶灵僵尸7     100      20      5
lj2   19   21     骷髅长枪兵7     100      10      5



lj3   19   21     半兽战士7     100      30      5
lj3   19   21     半兽人7     100      30      5
lj3   19   21     恶灵僵尸7     100      20      5
lj3   19   21     骷髅长枪兵7     100      10      5

lj4   19   21     半兽战士7     100      30      5
lj4   19   21     半兽人7     100      30      5
lj4   19   21     恶灵僵尸7     100      20      5
lj4   19   21     骷髅长枪兵7     100      10      5


lj5   19   21     半兽战士7     100      30      5
lj5   19   21     半兽人7     100      30      5
lj5   19   21     恶灵僵尸7     100      20      5
lj5   19   21     骷髅长枪兵7     100      10      5


lj6   19   21     半兽战士7     100      30      5
lj6   19   21     半兽人7     100      30      5
lj6   19   21     恶灵僵尸7     100      20      5
lj6   19   21     骷髅长枪兵7     100      10      5


lj7   19   21     半兽战士7     100      30      5
lj7   19   21     半兽人7     100      30      5
lj7   19   21     恶灵僵尸7     100      20      5
lj7   19   21     骷髅长枪兵7     100      10      5

lj8   19   21     半兽战士7     100      30      5
lj8   19   21     半兽人7     100      30      5
lj8   19   21     恶灵僵尸7     100      20      5
lj8   19   21     骷髅长枪兵7     100      10      5


lj9   19   21     半兽战士7     100      30      5
lj9   19   21     半兽人7     100      30      5
lj9   19   21     恶灵僵尸7     100      20      5
lj9   19   21     骷髅长枪兵7     100      10      5


lj10   19   21     半兽战士7     100      30      5
lj10   19   21     半兽人7     100      30      5
lj10   19   21     恶灵僵尸7     100      20      5
lj10   19   21     骷髅长枪兵7     100      10      5


lj1   19   21     半兽战士7     100      30      5
lj1   19   21     半兽人7     100      30      5
lj1   19   21     恶灵僵尸7     100      20      5
lj1   19   21     骷髅长枪兵7     100      10      5


lj2   19   21     半兽战士7     100      30      5
lj2   19   21     半兽人7     100      30      5
lj2   19   21     恶灵僵尸7     100      20      5
lj2   19   21     骷髅长枪兵7     100      10      5



lj3   19   21     半兽战士7     100      30      5
lj3   19   21     半兽人7     100      30      5
lj3   19   21     恶灵僵尸7     100      20      5
lj3   19   21     骷髅长枪兵7     100      10      5

lj4   19   21     半兽战士7     100      30      5
lj4   19   21     半兽人7     100      30      5
lj4   19   21     恶灵僵尸7     100      20      5
lj4   19   21     骷髅长枪兵7     100      10      5


lj5   19   21     半兽战士7     100      30      5
lj5   19   21     半兽人7     100      30      5
lj5   19   21     恶灵僵尸7     100      20      5
lj5   19   21     骷髅长枪兵7     100      10      5


lj6   19   21     半兽战士7     100      30      5
lj6   19   21     半兽人7     100      30      5
lj6   19   21     恶灵僵尸7     100      20      5
lj6   19   21     骷髅长枪兵7     100      10      5


lj7   19   21     半兽战士7     100      30      5
lj7   19   21     半兽人7     100      30      5
lj7   19   21     恶灵僵尸7     100      20      5
lj7   19   21     骷髅长枪兵7     100      10      5

lj8   19   21     半兽战士7     100      30      5
lj8   19   21     半兽人7     100      30      5
lj8   19   21     恶灵僵尸7     100      20      5
lj8   19   21     骷髅长枪兵7     100      10      5


lj9   19   21     半兽战士7     100      30      5
lj9   19   21     半兽人7     100      30      5
lj9   19   21     恶灵僵尸7     100      20      5
lj9   19   21     骷髅长枪兵7     100      10      5


lj10   19   21     半兽战士7     100      30      5
lj10   19   21     半兽人7     100      30      5
lj10   19   21     恶灵僵尸7     100      20      5
lj10   19   21     骷髅长枪兵7     100      10      5


lj1   19   21     半兽战士7     100      30      5
lj1   19   21     半兽人7     100      30      5
lj1   19   21     恶灵僵尸7     100      20      5
lj1   19   21     骷髅长枪兵7     100      10      5


lj2   19   21     半兽战士7     100      30      5
lj2   19   21     半兽人7     100      30      5
lj2   19   21     恶灵僵尸7     100      20      5
lj2   19   21     骷髅长枪兵7     100      10      5



lj3   19   21     半兽战士7     100      30      5
lj3   19   21     半兽人7     100      30      5
lj3   19   21     恶灵僵尸7     100      20      5
lj3   19   21     骷髅长枪兵7     100      10      5

lj4   19   21     半兽战士7     100      30      5
lj4   19   21     半兽人7     100      30      5
lj4   19   21     恶灵僵尸7     100      20      5
lj4   19   21     骷髅长枪兵7     100      10      5


lj5   19   21     半兽战士7     100      30      5
lj5   19   21     半兽人7     100      30      5
lj5   19   21     恶灵僵尸7     100      20      5
lj5   19   21     骷髅长枪兵7     100      10      5


lj6   19   21     半兽战士7     100      30      5
lj6   19   21     半兽人7     100      30      5
lj6   19   21     恶灵僵尸7     100      20      5
lj6   19   21     骷髅长枪兵7     100      10      5


lj7   19   21     半兽战士7     100      30      5
lj7   19   21     半兽人7     100      30      5
lj7   19   21     恶灵僵尸7     100      20      5
lj7   19   21     骷髅长枪兵7     100      10      5

lj8   19   21     半兽战士7     100      30      5
lj8   19   21     半兽人7     100      30      5
lj8   19   21     恶灵僵尸7     100      20      5
lj8   19   21     骷髅长枪兵7     100      10      5


lj9   19   21     半兽战士7     100      30      5
lj9   19   21     半兽人7     100      30      5
lj9   19   21     恶灵僵尸7     100      20      5
lj9   19   21     骷髅长枪兵7     100      10      5


lj10   19   21     半兽战士7     100      30      5
lj10   19   21     半兽人7     100      30      5
lj10   19   21     恶灵僵尸7     100      20      5
lj10   19   21     骷髅长枪兵7     100      10      5

0	665	86	弓箭守卫	0	1	1
0	672	93	弓箭守卫	0	1	1
2	417	558	弓箭守卫	0	1	1
2	416	559	弓箭守卫	0	1	1
2	423	566	弓箭守卫	0	1	1
2	424	565	弓箭守卫	0	1	1
